"","values","method"
"355",1.36259983796542,"DML (XGBoost)"
"356",0.879335769949096,"DML (SVM)"
"357",0.98720989476624,"PSM"
"358",0.841345856322952,"AIPW"
"359",1.47248908558556,"DML (XGBoost)"
"360",1.04292527630481,"DML (SVM)"
"361",1.21266909162894,"PSM"
"362",1.09488253000768,"AIPW"
"363",1.4639854098635,"DML (XGBoost)"
"364",1.03429594675595,"DML (SVM)"
"365",0.867339212193752,"PSM"
"366",0.917856514292751,"AIPW"
"367",1.35401991675801,"DML (XGBoost)"
"368",0.917053085206731,"DML (SVM)"
"369",0.783864547902853,"PSM"
"370",0.983322849566824,"AIPW"
"371",1.41824514266368,"DML (XGBoost)"
"372",0.99087621122417,"DML (SVM)"
"373",0.970320258756022,"PSM"
"374",0.955188232006522,"AIPW"
"375",1.33766486053348,"DML (XGBoost)"
"376",1.0647600438348,"DML (SVM)"
"377",1.0723720770227,"PSM"
"378",1.05503488073137,"AIPW"
"379",1.50542511313755,"DML (XGBoost)"
"380",1.10293617629897,"DML (SVM)"
"381",0.806424367967088,"PSM"
"382",0.827907747371784,"AIPW"
"383",1.34069554091607,"DML (XGBoost)"
"384",0.932362725566471,"DML (SVM)"
"385",1.29276275773612,"PSM"
"386",1.10758619449075,"AIPW"
"387",1.43618117289743,"DML (XGBoost)"
"388",1.03611948004561,"DML (SVM)"
"389",0.988111411463702,"PSM"
"390",0.935349911701321,"AIPW"
"391",1.25370466443157,"DML (XGBoost)"
"392",0.917754200907153,"DML (SVM)"
"393",0.771389409207099,"PSM"
"394",0.769793288737906,"AIPW"
"395",1.25411980621761,"DML (XGBoost)"
"396",0.921201169946223,"DML (SVM)"
"397",1.22285799182768,"PSM"
"398",1.17354459299364,"AIPW"
"399",1.49626742530355,"DML (XGBoost)"
"400",1.03555752250026,"DML (SVM)"
